Demand,Hour,Day of week,Specific hour,datetime,temp,windspeed,visibility,conditions
59,1400,Wednesday,8,2022-03-02T08:00:00,0.3,9.7,15.0,Clear
99,1401,Wednesday,9,2022-03-02T09:00:00,2.5,5.8,20.0,Clear
136,1402,Wednesday,10,2022-03-02T10:00:00,4.1,6.1,22.0,Clear
151,1403,Wednesday,11,2022-03-02T11:00:00,6.1,6.5,22.0,Clear
135,1404,Wednesday,12,2022-03-02T12:00:00,7.1,5.8,22.0,Clear
100,1405,Wednesday,13,2022-03-02T13:00:00,8.1,8.3,22.0,Clear
66,1406,Wednesday,14,2022-03-02T14:00:00,8.6,12.6,22.0,Clear
40,1407,Wednesday,15,2022-03-02T15:00:00,9.1,13.0,25.0,Clear
224,1408,Wednesday,16,2022-03-02T16:00:00,9.1,14.0,25.0,Clear
250,1409,Wednesday,17,2022-03-02T17:00:00,8.6,11.9,25.0,Clear
261,1410,Wednesday,18,2022-03-02T18:00:00,7.3,12.6,25.0,Clear
251,1411,Wednesday,19,2022-03-02T19:00:00,5.6,10.8,24.9,Clear
223,1412,Wednesday,20,2022-03-02T20:00:00,3.6,9.4,24.9,Clear
184,1413,Wednesday,21,2022-03-02T21:00:00,3.3,8.3,24.9,Clear
141,1414,Wednesday,22,2022-03-02T22:00:00,2.8,8.6,24.9,Clear
80,1415,Wednesday,23,2022-03-02T23:00:00,0.9,10.4,21.9,Clear
80,1416,Thursday,0,2022-03-03T00:00:00,0.6,12.9,21.9,Partially cloudy
61,1417,Thursday,1,2022-03-03T01:00:00,0.6,9.0,21.9,Partially cloudy
25,1418,Thursday,2,2022-03-03T02:00:00,0.7,5.4,21.9,Clear
10,1419,Thursday,3,2022-03-03T03:00:00,-0.7,7.6,21.9,Clear
33,1420,Thursday,4,2022-03-03T04:00:00,-0.4,10.8,21.9,Clear
69,1421,Thursday,5,2022-03-03T05:00:00,-1.5,5.8,21.9,Clear
14,1422,Thursday,6,2022-03-03T06:00:00,-1.9,6.8,8.0,Partially cloudy
36,1423,Thursday,7,2022-03-03T07:00:00,-1.2,6.8,5.0,Clear
78,1424,Thursday,8,2022-03-03T08:00:00,-1.4,6.5,4.0,Clear
136,1425,Thursday,9,2022-03-03T09:00:00,0.3,4.0,6.0,Clear
199,1426,Thursday,10,2022-03-03T10:00:00,1.9,13.6,9.0,Clear
241,1427,Thursday,11,2022-03-03T11:00:00,3.4,7.9,11.9,Clear
241,1428,Thursday,12,2022-03-03T12:00:00,5.0,10.8,15.0,Clear
200,1429,Thursday,13,2022-03-03T13:00:00,6.3,11.5,24.9,Clear
151,1430,Thursday,14,2022-03-03T14:00:00,7.1,16.5,34.9,Clear
109,1431,Thursday,15,2022-03-03T15:00:00,7.1,18.0,39.9,Clear
287,1432,Thursday,16,2022-03-03T16:00:00,7.5,15.5,39.9,Clear
301,1433,Thursday,17,2022-03-03T17:00:00,6.2,21.6,25.1,Clear
288,1434,Thursday,18,2022-03-03T18:00:00,4.6,19.0,40.0,Clear
253,1435,Thursday,19,2022-03-03T19:00:00,3.0,16.1,49.9,Clear
203,1436,Thursday,20,2022-03-03T20:00:00,1.6,11.9,49.9,Clear
150,1437,Thursday,21,2022-03-03T21:00:00,1.1,11.1,49.8,Clear
102,1438,Thursday,22,2022-03-03T22:00:00,0.4,8.2,49.8,Clear
51,1439,Thursday,23,2022-03-03T23:00:00,0.6,10.0,29.9,Clear
60,1440,Friday,0,2022-03-04T00:00:00,0.0,10.8,21.9,Clear
47,1441,Friday,1,2022-03-04T01:00:00,-1.6,9.7,21.9,Clear
21,1442,Friday,2,2022-03-04T02:00:00,-0.8,8.6,19.9,Clear
10,1443,Friday,3,2022-03-04T03:00:00,0.0,13.3,19.9,Partially cloudy
27,1444,Friday,4,2022-03-04T04:00:00,-0.9,9.3,19.9,Partially cloudy
52,1445,Friday,5,2022-03-04T05:00:00,-1.6,9.4,19.9,Clear
15,1446,Friday,6,2022-03-04T06:00:00,-1.9,9.3,21.9,Clear
39,1447,Friday,7,2022-03-04T07:00:00,-2.3,10.1,15.9,Clear
79,1448,Friday,8,2022-03-04T08:00:00,-1.6,9.0,10.0,Clear
132,1449,Friday,9,2022-03-04T09:00:00,0.3,12.6,12.0,Partially cloudy
181,1450,Friday,10,2022-03-04T10:00:00,0.7,13.3,15.0,Partially cloudy
200,1451,Friday,11,2022-03-04T11:00:00,1.4,14.7,18.0,Partially cloudy
181,1452,Friday,12,2022-03-04T12:00:00,2.6,18.0,20.1,Clear
132,1453,Friday,13,2022-03-04T13:00:00,4.1,14.8,20.1,Clear
87,1454,Friday,14,2022-03-04T14:00:00,4.8,13.7,20.2,Clear
54,1455,Friday,15,2022-03-04T15:00:00,4.9,16.9,20.0,Clear
340,1456,Friday,16,2022-03-04T16:00:00,5.4,16.6,30.0,Clear
324,1457,Friday,17,2022-03-04T17:00:00,4.3,19.8,30.0,Clear
279,1458,Friday,18,2022-03-04T18:00:00,3.5,15.1,40.0,Clear
219,1459,Friday,19,2022-03-04T19:00:00,2.4,8.6,40.0,Clear
156,1460,Friday,20,2022-03-04T20:00:00,1.7,5.0,40.0,Clear
100,1461,Friday,21,2022-03-04T21:00:00,0.4,3.6,40.0,Clear
58,1462,Friday,22,2022-03-04T22:00:00,1.3,5.8,40.0,Clear
25,1463,Friday,23,2022-03-04T23:00:00,1.0,7.5,40.0,Clear
60,1464,Saturday,0,2022-03-05T00:00:00,0.3,7.6,40.0,Clear
47,1465,Saturday,1,2022-03-05T01:00:00,-0.2,9.3,40.0,Clear
21,1466,Saturday,2,2022-03-05T02:00:00,-0.5,7.9,40.0,Clear
10,1467,Saturday,3,2022-03-05T03:00:00,-1.2,9.3,40.0,Clear
27,1468,Saturday,4,2022-03-05T04:00:00,-1.4,9.3,40.0,Clear
52,1469,Saturday,5,2022-03-05T05:00:00,-3.3,11.1,40.0,Clear
186,1470,Saturday,6,2022-03-05T06:00:00,-2.4,9.3,40.0,Clear
241,1471,Saturday,7,2022-03-05T07:00:00,-3.3,12.2,30.1,Clear
186,1472,Saturday,8,2022-03-05T08:00:00,-2.2,12.2,25.1,Clear
87,1473,Saturday,9,2022-03-05T09:00:00,0.3,10.8,25.1,Clear
24,1474,Saturday,10,2022-03-05T10:00:00,2.1,17.6,22.1,Clear
4,1475,Saturday,11,2022-03-05T11:00:00,3.4,18.3,22.1,Clear
0,1476,Saturday,12,2022-03-05T12:00:00,4.6,20.9,22.0,Clear
0,1477,Saturday,13,2022-03-05T13:00:00,5.4,16.9,22.1,Clear
0,1478,Saturday,14,2022-03-05T14:00:00,6.1,15.8,22.1,Clear
0,1479,Saturday,15,2022-03-05T15:00:00,6.2,12.6,22.1,Partially cloudy
94,1480,Saturday,16,2022-03-05T16:00:00,6.2,12.6,25.1,Partially cloudy
39,1481,Saturday,17,2022-03-05T17:00:00,5.8,15.5,25.1,Clear
15,1482,Saturday,18,2022-03-05T18:00:00,5.1,12.6,25.1,Clear
5,1483,Saturday,19,2022-03-05T19:00:00,3.6,7.6,30.0,Clear
1,1484,Saturday,20,2022-03-05T20:00:00,2.6,6.5,30.1,Clear
0,1485,Saturday,21,2022-03-05T21:00:00,2.1,7.9,30.1,Partially cloudy
0,1486,Saturday,22,2022-03-05T22:00:00,1.1,7.6,30.0,Clear
0,1487,Saturday,23,2022-03-05T23:00:00,0.8,7.9,30.1,Clear
70,1488,Sunday,0,2022-03-06T00:00:00,0.0,12.6,30.0,Partially cloudy
54,1489,Sunday,1,2022-03-06T01:00:00,0.1,12.6,30.0,Clear
23,1490,Sunday,2,2022-03-06T02:00:00,-0.2,11.1,30.1,Clear
10,1491,Sunday,3,2022-03-06T03:00:00,-0.2,15.1,30.0,Partially cloudy
30,1492,Sunday,4,2022-03-06T04:00:00,-0.2,10.8,30.0,Partially cloudy
61,1493,Sunday,5,2022-03-06T05:00:00,-0.2,12.2,30.0,Partially cloudy
12,1494,Sunday,6,2022-03-06T06:00:00,0.0,14.4,30.0,Partially cloudy
30,1495,Sunday,7,2022-03-06T07:00:00,-0.2,11.2,30.0,Partially cloudy
65,1496,Sunday,8,2022-03-06T08:00:00,-0.2,10.1,30.1,Partially cloudy
119,1497,Sunday,9,2022-03-06T09:00:00,0.6,15.4,40.0,Partially cloudy
184,1498,Sunday,10,2022-03-06T10:00:00,1.5,15.5,40.0,Clear
239,1499,Sunday,11,2022-03-06T11:00:00,3.6,10.1,40.0,Clear
261,1500,Sunday,12,2022-03-06T12:00:00,3.4,16.9,40.0,Partially cloudy
239,1501,Sunday,13,2022-03-06T13:00:00,4.0,14.0,40.0,Clear
223,1502,Sunday,14,2022-03-06T14:00:00,4.1,16.9,40.0,Partially cloudy
184,1503,Sunday,15,2022-03-06T15:00:00,5.0,19.0,40.0,Overcast
331,1504,Sunday,16,2022-03-06T16:00:00,5.0,15.8,40.0,Overcast
394,1505,Sunday,17,2022-03-06T17:00:00,4.6,16.5,40.0,Partially cloudy
396,1506,Sunday,18,2022-03-06T18:00:00,3.8,15.1,40.0,Clear
411,1507,Sunday,19,2022-03-06T19:00:00,3.0,9.0,40.0,Clear
397,1508,Sunday,20,2022-03-06T20:00:00,2.5,8.6,40.0,Clear
357,1509,Sunday,21,2022-03-06T21:00:00,1.7,7.5,39.9,Clear
301,1510,Sunday,22,2022-03-06T22:00:00,-1.2,3.6,29.9,Clear
189,1511,Sunday,23,2022-03-06T23:00:00,-2.1,3.6,25.0,Clear
100,1512,Monday,0,2022-03-07T00:00:00,-1.9,5.4,19.9,Clear
77,1513,Monday,1,2022-03-07T01:00:00,-2.6,5.4,19.9,Clear
52,1514,Monday,2,2022-03-07T02:00:00,-1.9,5.4,17.9,Partially cloudy
20,1515,Monday,3,2022-03-07T03:00:00,-1.5,4.7,11.9,Clear
10,1516,Monday,4,2022-03-07T04:00:00,-1.9,6.1,6.0,Partially cloudy
29,1517,Monday,5,2022-03-07T05:00:00,-2.6,1.8,5.0,Overcast
64,1518,Monday,6,2022-03-07T06:00:00,-0.9,5.0,0.0,Clear
93,1519,Monday,7,2022-03-07T07:00:00,-1.2,5.4,0.1,Clear
50,1520,Monday,8,2022-03-07T08:00:00,-1.4,4.7,0.1,Clear
93,1521,Monday,9,2022-03-07T09:00:00,-1.0,2.9,0.1,Clear
141,1522,Monday,10,2022-03-07T10:00:00,-0.7,2.5,0.1,Clear
184,1523,Monday,11,2022-03-07T11:00:00,-0.1,4.3,1.2,Clear
201,1524,Monday,12,2022-03-07T12:00:00,2.2,4.7,10.2,Clear
184,1525,Monday,13,2022-03-07T13:00:00,4.9,5.1,18.0,Clear
156,1526,Monday,14,2022-03-07T14:00:00,6.2,12.2,40.0,Clear
128,1527,Monday,15,2022-03-07T15:00:00,7.1,11.2,45.0,Clear
241,1528,Monday,16,2022-03-07T16:00:00,7.6,5.4,45.0,Clear
270,1529,Monday,17,2022-03-07T17:00:00,7.3,11.1,45.0,Clear
281,1530,Monday,18,2022-03-07T18:00:00,5.9,10.1,45.0,Clear
270,1531,Monday,19,2022-03-07T19:00:00,5.2,5.4,40.0,Clear
241,1532,Monday,20,2022-03-07T20:00:00,2.9,2.5,40.0,Clear
198,1533,Monday,21,2022-03-07T21:00:00,1.0,2.2,40.0,Clear
151,1534,Monday,22,2022-03-07T22:00:00,0.0,0.7,40.0,Clear
86,1535,Monday,23,2022-03-07T23:00:00,-1.8,3.6,40.0,Clear
105,1536,Tuesday,0,2022-03-08T00:00:00,-1.0,3.6,40.0,Clear
81,1537,Tuesday,1,2022-03-08T01:00:00,-2.4,1.4,30.1,Clear
54,1538,Tuesday,2,2022-03-08T02:00:00,-2.5,3.2,25.1,Clear
20,1539,Tuesday,3,2022-03-08T03:00:00,-2.2,7.5,25.1,Clear
10,1540,Tuesday,4,2022-03-08T04:00:00,-1.7,2.2,25.0,Clear
30,1541,Tuesday,5,2022-03-08T05:00:00,-2.2,2.2,30.0,Clear
67,1542,Tuesday,6,2022-03-08T06:00:00,-1.7,5.7,34.9,Clear
98,1543,Tuesday,7,2022-03-08T07:00:00,-2.9,4.7,39.9,Clear
45,1544,Tuesday,8,2022-03-08T08:00:00,-1.4,3.6,49.9,Clear
83,1545,Tuesday,9,2022-03-08T09:00:00,1.3,9.7,50.0,Clear
128,1546,Tuesday,10,2022-03-08T10:00:00,3.4,7.5,50.0,Clear
165,1547,Tuesday,11,2022-03-08T11:00:00,5.7,10.8,50.0,Clear
180,1548,Tuesday,12,2022-03-08T12:00:00,7.4,15.1,50.0,Clear
165,1549,Tuesday,13,2022-03-08T13:00:00,8.9,20.5,,Clear
140,1550,Tuesday,14,2022-03-08T14:00:00,9.4,18.3,,Clear
116,1551,Tuesday,15,2022-03-08T15:00:00,9.9,19.8,43.0,Clear
230,1552,Tuesday,16,2022-03-08T16:00:00,10.2,21.9,42.0,Clear
241,1553,Tuesday,17,2022-03-08T17:00:00,10.0,17.6,,Clear
229,1554,Tuesday,18,2022-03-08T18:00:00,8.8,15.5,,Clear
202,1555,Tuesday,19,2022-03-08T19:00:00,7.1,9.0,,Clear
163,1556,Tuesday,20,2022-03-08T20:00:00,5.8,11.9,50.0,Clear
120,1557,Tuesday,21,2022-03-08T21:00:00,4.6,10.8,50.0,Clear
81,1558,Tuesday,22,2022-03-08T22:00:00,3.8,12.2,50.0,Clear
41,1559,Tuesday,23,2022-03-08T23:00:00,3.6,9.7,49.9,Clear
100,1560,Wednesday,0,2022-03-09T00:00:00,2.6,7.2,50.0,Clear
77,1561,Wednesday,1,2022-03-09T01:00:00,1.3,6.5,50.0,Clear
51,1562,Wednesday,2,2022-03-09T02:00:00,0.1,9.0,50.0,Clear
20,1563,Wednesday,3,2022-03-09T03:00:00,0.8,7.6,50.0,Clear
10,1564,Wednesday,4,2022-03-09T04:00:00,0.5,7.9,50.0,Clear
30,1565,Wednesday,5,2022-03-09T05:00:00,-0.9,7.2,50.0,Clear
64,1566,Wednesday,6,2022-03-09T06:00:00,-1.4,9.3,50.0,Clear
93,1567,Wednesday,7,2022-03-09T07:00:00,-2.3,4.7,50.0,Clear
59,1568,Wednesday,8,2022-03-09T08:00:00,-0.4,7.6,50.0,Clear
99,1569,Wednesday,9,2022-03-09T09:00:00,2.4,5.4,50.0,Clear
135,1570,Wednesday,10,2022-03-09T10:00:00,4.7,7.2,50.0,Clear
151,1571,Wednesday,11,2022-03-09T11:00:00,7.2,8.6,50.0,Clear
136,1572,Wednesday,12,2022-03-09T12:00:00,9.2,13.7,50.0,Clear
99,1573,Wednesday,13,2022-03-09T13:00:00,10.2,14.8,50.0,Clear
65,1574,Wednesday,14,2022-03-09T14:00:00,11.6,13.3,50.0,Clear
41,1575,Wednesday,15,2022-03-09T15:00:00,12.2,20.5,50.0,Clear
223,1576,Wednesday,16,2022-03-09T16:00:00,12.6,19.4,50.0,Clear
251,1577,Wednesday,17,2022-03-09T17:00:00,12.1,19.4,49.9,Clear
261,1578,Wednesday,18,2022-03-09T18:00:00,10.8,11.5,50.0,Clear
250,1579,Wednesday,19,2022-03-09T19:00:00,9.7,12.2,47.0,Clear
223,1580,Wednesday,20,2022-03-09T20:00:00,7.9,10.8,41.0,Clear
184,1581,Wednesday,21,2022-03-09T21:00:00,6.8,11.1,50.0,Clear
141,1582,Wednesday,22,2022-03-09T22:00:00,6.3,14.0,50.0,Clear
79,1583,Wednesday,23,2022-03-09T23:00:00,5.7,13.3,50.0,Clear
80,1584,Thursday,0,2022-03-10T00:00:00,4.1,8.6,50.0,Clear
61,1585,Thursday,1,2022-03-10T01:00:00,4.0,6.8,49.9,Clear
25,1586,Thursday,2,2022-03-10T02:00:00,2.6,5.8,41.0,Clear
11,1587,Thursday,3,2022-03-10T03:00:00,2.3,7.2,44.0,Clear
33,1588,Thursday,4,2022-03-10T04:00:00,1.3,6.5,49.0,Clear
69,1589,Thursday,5,2022-03-10T05:00:00,2.0,7.9,42.0,Clear
14,1590,Thursday,6,2022-03-10T06:00:00,0.1,4.7,40.0,Clear
36,1591,Thursday,7,2022-03-10T07:00:00,0.8,7.6,49.9,Clear
78,1592,Thursday,8,2022-03-10T08:00:00,2.3,5.4,30.1,Clear
136,1593,Thursday,9,2022-03-10T09:00:00,3.9,16.2,35.1,Clear
199,1594,Thursday,10,2022-03-10T10:00:00,6.1,19.8,40.0,Clear
241,1595,Thursday,11,2022-03-10T11:00:00,8.6,19.8,40.0,Clear
241,1596,Thursday,12,2022-03-10T12:00:00,11.2,16.6,40.0,Clear
200,1597,Thursday,13,2022-03-10T13:00:00,12.2,20.5,40.0,Clear
150,1598,Thursday,14,2022-03-10T14:00:00,12.9,21.9,40.0,Clear
108,1599,Thursday,15,2022-03-10T15:00:00,13.7,21.6,45.0,Clear
288,1600,Thursday,16,2022-03-10T16:00:00,13.6,21.9,40.0,Clear
300,1601,Thursday,17,2022-03-10T17:00:00,13.1,22.3,40.0,Clear
288,1602,Thursday,18,2022-03-10T18:00:00,11.3,18.3,45.0,Clear
253,1603,Thursday,19,2022-03-10T19:00:00,9.6,19.7,45.0,Clear
203,1604,Thursday,20,2022-03-10T20:00:00,8.6,19.1,40.0,Clear
150,1605,Thursday,21,2022-03-10T21:00:00,8.1,21.2,40.0,Clear
102,1606,Thursday,22,2022-03-10T22:00:00,7.6,26.2,35.0,Clear
50,1607,Thursday,23,2022-03-10T23:00:00,6.3,21.6,30.0,Clear
60,1608,Friday,0,2022-03-11T00:00:00,5.6,19.8,30.0,Clear
46,1609,Friday,1,2022-03-11T01:00:00,4.6,23.4,30.0,Clear
21,1610,Friday,2,2022-03-11T02:00:00,3.6,23.7,30.0,Clear
10,1611,Friday,3,2022-03-11T03:00:00,2.8,21.9,30.0,Clear
26,1612,Friday,4,2022-03-11T04:00:00,2.3,20.1,30.0,Clear
52,1613,Friday,5,2022-03-11T05:00:00,1.5,21.6,35.0,Clear
15,1614,Friday,6,2022-03-11T06:00:00,1.0,25.5,35.0,Clear
38,1615,Friday,7,2022-03-11T07:00:00,0.6,21.6,30.0,Clear
79,1616,Friday,8,2022-03-11T08:00:00,0.8,24.4,30.0,Clear
133,1617,Friday,9,2022-03-11T09:00:00,1.8,29.1,30.1,Clear
180,1618,Friday,10,2022-03-11T10:00:00,3.4,24.8,30.0,Clear
200,1619,Friday,11,2022-03-11T11:00:00,4.7,29.8,30.1,Clear
181,1620,Friday,12,2022-03-11T12:00:00,6.2,33.4,30.0,Clear
132,1621,Friday,13,2022-03-11T13:00:00,7.7,34.9,30.1,Clear
87,1622,Friday,14,2022-03-11T14:00:00,9.1,32.4,35.1,Clear
54,1623,Friday,15,2022-03-11T15:00:00,9.4,31.0,35.0,Clear
340,1624,Friday,16,2022-03-11T16:00:00,10.0,28.8,30.0,Clear
324,1625,Friday,17,2022-03-11T17:00:00,9.3,35.6,30.0,Clear
280,1626,Friday,18,2022-03-11T18:00:00,8.8,24.5,30.0,Clear
219,1627,Friday,19,2022-03-11T19:00:00,7.8,27.7,30.1,Clear
155,1628,Friday,20,2022-03-11T20:00:00,7.1,26.6,30.0,Clear
100,1629,Friday,21,2022-03-11T21:00:00,5.8,28.1,30.1,Clear
58,1630,Friday,22,2022-03-11T22:00:00,5.6,25.2,30.1,Clear
25,1631,Friday,23,2022-03-11T23:00:00,4.8,23.4,30.0,Clear
60,1632,Saturday,0,2022-03-12T00:00:00,4.3,20.2,40.0,Clear
46,1633,Saturday,1,2022-03-12T01:00:00,3.6,22.3,40.0,Clear
21,1634,Saturday,2,2022-03-12T02:00:00,3.1,23.0,40.0,Clear
10,1635,Saturday,3,2022-03-12T03:00:00,2.6,23.0,40.0,Clear
27,1636,Saturday,4,2022-03-12T04:00:00,2.1,23.4,40.1,Clear
52,1637,Saturday,5,2022-03-12T05:00:00,1.8,23.0,40.0,Overcast
186,1638,Saturday,6,2022-03-12T06:00:00,1.3,20.9,40.0,Overcast
241,1639,Saturday,7,2022-03-12T07:00:00,1.1,23.4,40.0,Overcast
186,1640,Saturday,8,2022-03-12T08:00:00,1.7,21.2,50.0,Partially cloudy
86,1641,Saturday,9,2022-03-12T09:00:00,3.2,21.6,50.0,Partially cloudy
24,1642,Saturday,10,2022-03-12T10:00:00,5.1,18.7,43.0,Clear
4,1643,Saturday,11,2022-03-12T11:00:00,7.1,21.6,,Clear
0,1644,Saturday,12,2022-03-12T12:00:00,9.4,20.9,,Clear
0,1645,Saturday,13,2022-03-12T13:00:00,10.7,16.6,,Partially cloudy
0,1646,Saturday,14,2022-03-12T14:00:00,11.2,19.4,42.0,Partially cloudy
0,1647,Saturday,15,2022-03-12T15:00:00,12.6,15.5,,Partially cloudy
94,1648,Saturday,16,2022-03-12T16:00:00,13.0,14.0,,Partially cloudy
43,1649,Saturday,17,2022-03-12T17:00:00,12.3,14.7,41.0,Partially cloudy
15,1650,Saturday,18,2022-03-12T18:00:00,10.6,13.7,43.0,Overcast
5,1651,Saturday,19,2022-03-12T19:00:00,9.6,14.3,35.0,Overcast
1,1652,Saturday,20,2022-03-12T20:00:00,8.8,16.2,40.0,Overcast
1,1653,Saturday,21,2022-03-12T21:00:00,8.0,20.8,45.0,Overcast
0,1654,Saturday,22,2022-03-12T22:00:00,7.3,19.1,45.0,Overcast
0,1655,Saturday,23,2022-03-12T23:00:00,6.3,15.8,45.0,Overcast
70,1656,Sunday,0,2022-03-13T00:00:00,5.3,12.3,45.0,Clear
53,1657,Sunday,1,2022-03-13T01:00:00,5.0,16.9,45.0,Clear
23,1658,Sunday,2,2022-03-13T02:00:00,4.0,15.1,45.0,Clear
10,1659,Sunday,3,2022-03-13T03:00:00,3.1,11.1,45.0,Clear
30,1660,Sunday,4,2022-03-13T04:00:00,2.3,5.4,45.0,Clear
61,1661,Sunday,5,2022-03-13T05:00:00,1.6,9.3,45.0,Clear
11,1662,Sunday,6,2022-03-13T06:00:00,1.1,8.3,45.0,Clear
29,1663,Sunday,7,2022-03-13T07:00:00,0.8,14.0,30.1,Clear
65,1664,Sunday,8,2022-03-13T08:00:00,1.5,15.1,30.1,Clear
119,1665,Sunday,9,2022-03-13T09:00:00,3.2,12.6,35.0,Partially cloudy
184,1666,Sunday,10,2022-03-13T10:00:00,5.2,14.8,35.0,Clear
238,1667,Sunday,11,2022-03-13T11:00:00,8.1,21.6,35.0,Clear
261,1668,Sunday,12,2022-03-13T12:00:00,10.1,20.9,35.1,Clear
239,1669,Sunday,13,2022-03-13T13:00:00,11.7,21.2,30.1,Clear
202,1670,Sunday,14,2022-03-13T14:00:00,12.9,24.4,30.1,Clear
167,1671,Sunday,15,2022-03-13T15:00:00,13.7,25.5,30.0,Clear
301,1672,Sunday,16,2022-03-13T16:00:00,13.9,23.7,30.1,Clear
357,1673,Sunday,17,2022-03-13T17:00:00,13.6,20.5,30.0,Clear
396,1674,Sunday,18,2022-03-13T18:00:00,12.3,16.9,40.0,Partially cloudy
411,1675,Sunday,19,2022-03-13T19:00:00,10.3,13.7,45.0,Clear
397,1676,Sunday,20,2022-03-13T20:00:00,9.5,17.9,49.0,Clear
358,1677,Sunday,21,2022-03-13T21:00:00,8.6,16.5,50.0,Clear
300,1678,Sunday,22,2022-03-13T22:00:00,7.8,17.6,46.0,Overcast
189,1679,Sunday,23,2022-03-13T23:00:00,7.7,18.7,48.0,Clear
100,1680,Monday,0,2022-03-14T00:00:00,7.0,15.1,46.0,Clear
77,1681,Monday,1,2022-03-14T01:00:00,6.7,14.0,,Clear
51,1682,Monday,2,2022-03-14T02:00:00,5.6,10.4,47.0,Overcast
20,1683,Monday,3,2022-03-14T03:00:00,5.3,12.2,,Overcast
10,1684,Monday,4,2022-03-14T04:00:00,5.0,9.3,47.0,Overcast
29,1685,Monday,5,2022-03-14T05:00:00,4.6,7.2,,"Rain, Overcast"
64,1686,Monday,6,2022-03-14T06:00:00,4.6,8.3,47.0,"Rain, Overcast"
74,1687,Monday,7,2022-03-14T07:00:00,4.3,7.5,49.9,"Rain, Overcast"
40,1688,Monday,8,2022-03-14T08:00:00,3.7,6.5,12.2,"Rain, Overcast"
74,1689,Monday,9,2022-03-14T09:00:00,4.2,5.4,10.2,"Rain, Overcast"
114,1690,Monday,10,2022-03-14T10:00:00,5.9,5.8,6.2,"Rain, Overcast"
147,1691,Monday,11,2022-03-14T11:00:00,7.2,8.0,5.2,"Rain, Overcast"
161,1692,Monday,12,2022-03-14T12:00:00,8.2,10.5,10.1,"Rain, Overcast"
184,1693,Monday,13,2022-03-14T13:00:00,8.2,9.0,12.1,"Rain, Overcast"
156,1694,Monday,14,2022-03-14T14:00:00,8.5,11.2,9.1,"Rain, Overcast"
129,1695,Monday,15,2022-03-14T15:00:00,9.1,12.2,10.0,"Rain, Overcast"
240,1696,Monday,16,2022-03-14T16:00:00,9.0,24.8,10.0,"Rain, Overcast"
270,1697,Monday,17,2022-03-14T17:00:00,9.1,15.4,10.0,"Rain, Overcast"
280,1698,Monday,18,2022-03-14T18:00:00,8.6,10.5,12.0,"Rain, Overcast"
270,1699,Monday,19,2022-03-14T19:00:00,7.7,7.6,8.0,"Rain, Overcast"
240,1700,Monday,20,2022-03-14T20:00:00,7.3,7.6,6.0,Partially cloudy
198,1701,Monday,21,2022-03-14T21:00:00,5.9,5.4,1.0,Partially cloudy
152,1702,Monday,22,2022-03-14T22:00:00,4.4,3.6,0.0,Clear
85,1703,Monday,23,2022-03-14T23:00:00,3.6,1.1,0.0,Clear
105,1704,Tuesday,0,2022-03-15T00:00:00,1.9,3.6,0.0,Clear
81,1705,Tuesday,1,2022-03-15T01:00:00,1.4,3.3,1.0,Clear
54,1706,Tuesday,2,2022-03-15T02:00:00,0.6,3.3,0.0,Partially cloudy
21,1707,Tuesday,3,2022-03-15T03:00:00,0.4,5.0,0.0,Clear
11,1708,Tuesday,4,2022-03-15T04:00:00,1.3,3.6,1.0,Partially cloudy
30,1709,Tuesday,5,2022-03-15T05:00:00,0.8,1.8,1.0,Overcast
67,1710,Tuesday,6,2022-03-15T06:00:00,1.0,3.6,1.0,Overcast
98,1711,Tuesday,7,2022-03-15T07:00:00,1.1,4.0,1.0,Overcast
45,1712,Tuesday,8,2022-03-15T08:00:00,2.1,4.3,1.0,Overcast
82,1713,Tuesday,9,2022-03-15T09:00:00,3.4,5.0,3.0,Overcast
127,1714,Tuesday,10,2022-03-15T10:00:00,5.2,4.0,6.0,Overcast
166,1715,Tuesday,11,2022-03-15T11:00:00,5.9,5.4,6.0,Overcast
180,1716,Tuesday,12,2022-03-15T12:00:00,7.7,8.6,8.0,Overcast
182,1717,Tuesday,13,2022-03-15T13:00:00,9.1,3.3,10.0,Overcast
154,1718,Tuesday,14,2022-03-15T14:00:00,10.1,7.2,12.0,Overcast
127,1719,Tuesday,15,2022-03-15T15:00:00,11.0,8.3,15.0,Overcast
253,1720,Tuesday,16,2022-03-15T16:00:00,11.1,9.0,15.0,Overcast
240,1721,Tuesday,17,2022-03-15T17:00:00,10.6,11.1,15.0,"Rain, Overcast"
230,1722,Tuesday,18,2022-03-15T18:00:00,10.1,10.8,15.0,"Rain, Overcast"
203,1723,Tuesday,19,2022-03-15T19:00:00,8.8,9.4,24.9,"Rain, Overcast"
163,1724,Tuesday,20,2022-03-15T20:00:00,7.7,12.2,30.0,"Rain, Partially cloudy"
121,1725,Tuesday,21,2022-03-15T21:00:00,7.6,11.1,24.9,Partially cloudy
81,1726,Tuesday,22,2022-03-15T22:00:00,7.3,10.0,20.0,Overcast
40,1727,Tuesday,23,2022-03-15T23:00:00,7.3,11.1,29.9,Overcast
100,1728,Wednesday,0,2022-03-16T00:00:00,5.6,3.6,29.8,Clear
77,1729,Wednesday,1,2022-03-16T01:00:00,5.3,1.8,19.9,Partially cloudy
52,1730,Wednesday,2,2022-03-16T02:00:00,5.3,5.0,19.9,Partially cloudy
20,1731,Wednesday,3,2022-03-16T03:00:00,6.0,4.3,14.9,Partially cloudy
